distance,accuracy_diff,smooth,model
2.0,0.02202394736912938,,BLAST
3.0,0.024449362615711737,0.02297294968361073,BLAST
4.0,0.022445539065991078,0.024328279298939964,BLAST
5.0,0.02608993621511708,0.024450850004621615,BLAST
6.0,0.02481707473275669,0.025464322669116194,BLAST
7.0,0.02548595705947481,0.02450056343107705,BLAST
8.0,0.023198658500999638,0.024838263704494542,BLAST
9.0,0.02583017555300917,0.02422119085405496,BLAST
10.0,0.023634738508156068,0.024671139447094523,BLAST
11.0,0.024548504280118334,0.02422156686230853,BLAST
12.0,0.024481457798651192,0.023882738464528097,BLAST
13.0,0.022618253314814773,0.02539374506696439,BLAST
14.0,0.029081524087427205,0.0249122449344362,BLAST
15.0,0.023036957401066618,0.027818483697335746,BLAST
16.0,0.03133696960351342,0.028101109041980172,BLAST
17.0,0.029929400121360483,0.03122177140908051,BLAST
18.0,0.03239894450236764,0.03459748199938005,BLAST
19.0,0.04146410137441203,0.04066207777403644,BLAST
20.0,0.048123187445329646,0.0436815140626706,BLAST
21.0,0.04145725336827014,0.0415681955829634,BLAST
22.0,0.03512414593529041,0.033320326509843456,BLAST
23.0,0.02337958022596981,,BLAST
